Interaction,Feynman Diagram,Amplitude,Squared Amplitude
b alpha (X)^(*) mu (X) to b beta (X) nu (X),"Vertex V_0:b(X_3), A(X_4), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_2),  OffShell b(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p b_del_1361_pu b_spi_0_pu_star * * 1/2 p lambda gamma * * * lambda s s gamma_lor_spi gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p b_del_1363_pu b_spi_3_pu_star + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
b alpha (X)^(*) mu (X) to b beta (X) nu (X),"Vertex V_0:A(X_2), b(X_3), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_4),  OffShell b(V_1),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p b_del_1395_pu b_spi_0_pu_star * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p b_del_1397_pu b_spi_3_pu_star + s * NEG 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
b alpha (X)^(*) mu (X) to b beta (X) AntiPart mu (X),"Vertex V_0:A(X_2), b(X_3), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_4),  OffShell b(V_1),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_0_pu_star b_del_1679_pu * * NEG 1/2 p lambda gamma * * * lambda s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_3_pu_star b_del_1681_pu + s * NEG 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
b alpha (X)^(*) mu (X) to b beta (X) AntiPart mu (X),"Vertex V_0:b(X_3), A(X_4), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_2),  OffShell b(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_0_pu_star b_del_1707_pu * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_3_pu_star b_del_1709_pu + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
b alpha (X)^(*) AntiPart mu (X) to b eta (X) AntiPart nu (X),"Vertex V_0:b(X_3), A(X_4), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_2),  OffShell b(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_0_pu_star b_del_1999_pu * * 1/2 p lambda gamma * * * lambda s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_3_pu_star b_del_2001_pu + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
b alpha (X)^(*) AntiPart mu (X) to b eta (X) AntiPart nu (X),"Vertex V_0:A(X_2), b(X_3), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_4),  OffShell b(V_1),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_0_pu_star b_del_2035_pu * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_3_pu_star b_del_2037_pu + s * NEG 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
AntiPart b eta (X) tau (X) to AntiPart b alpha (X)^(*) mu (X),"Vertex V_1:AntiPart b(X_3), A(X_4),  OffShell b(V_1), Vertex V_0:A(X_2), AntiPart b(X_1), AntiPart  OffShell b(V_0),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_del_2319_pv b_spi_0_pv_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_del_2321_pv b_spi_3_pv_star + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
AntiPart b eta (X) tau (X) to AntiPart b alpha (X)^(*) mu (X),"Vertex V_0:AntiPart b(X_1), A(X_4), AntiPart  OffShell b(V_0), Vertex V_1:A(X_2), AntiPart b(X_3),  OffShell b(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_del_2349_pv b_spi_0_pv_star * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_del_2351_pv b_spi_3_pv_star + s * NEG 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
AntiPart b eta (X) tau (X) to AntiPart b alpha (X)^(*) AntiPart tau (X),"Vertex V_1:AntiPart b(X_3), A(X_4),  OffShell b(V_1), Vertex V_0:A(X_2), AntiPart b(X_1), AntiPart  OffShell b(V_0),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p b_spi_0_pv_star b_del_2643_pv * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p b_spi_3_pv_star b_del_2645_pv + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
AntiPart b eta (X) tau (X) to AntiPart b alpha (X)^(*) AntiPart tau (X),"Vertex V_0:AntiPart b(X_1), A(X_4), AntiPart  OffShell b(V_0), Vertex V_1:A(X_2), AntiPart b(X_3),  OffShell b(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p b_spi_0_pv_star b_del_2671_pv * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p b_spi_3_pv_star b_del_2673_pv + s * NEG 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
AntiPart b eta (X) AntiPart sigma (X) to AntiPart b eps (X)^(*) AntiPart lambda (X),"Vertex V_1:AntiPart b(X_3), A(X_4),  OffShell b(V_1), Vertex V_0:A(X_2), AntiPart b(X_1), AntiPart  OffShell b(V_0),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_0_pv b_spi_1_pv_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_4_pv b_spi_5_pv_star + s * 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop
AntiPart b eta (X) AntiPart sigma (X) to AntiPart b eps (X)^(*) AntiPart lambda (X),"Vertex V_0:AntiPart b(X_1), A(X_4), AntiPart  OffShell b(V_0), Vertex V_1:A(X_2), AntiPart b(X_3),  OffShell b(V_1),",/ * * * NEG 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_0_pv b_spi_1_pv_star * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_4_pv b_spi_5_pv_star + s * NEG 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
sigma (X) AntiPart lambda (X) to e eps (X) AntiPart e eta (X)^(*),"Vertex V_1:A(X_2), AntiPart e(X_4),  OffShell e(V_1), Vertex V_0:A(X_1), e(X_3), AntiPart  OffShell e(V_0),",/ * * * 1/2 i ^ e_2 + + + + + + * p_lor_0 gamma * * * lor_0 s s gamma_lor_spi_del gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * lor_2 p e_spi_2_pu_star e_del_146_pv * * * NEG 2 p_lor_2 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p e_spi_3_pu_star e_del_149_pv + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 2 i ^ e_2 + / * * * i ^ e_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 2 i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
sigma (X) AntiPart lambda (X) to e eps (X) AntiPart e eta (X)^(*),"Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1),",/ * * * NEG 1/2 i ^ e_2 + + + + + + * p_lor_0 gamma * * * lor_0 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p e_spi_2_pu_star e_del_182_pv * * * NEG 2 p_lor_2 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p e_spi_3_pu_star e_del_187_pv + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 1/4 i ^ e_2 + / * * * i ^ e_2 ^ 2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 16 i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
rho (X) AntiPart sigma (X) to mu eps (X) AntiPart mu eta (X)^(*),"Vertex V_1:A(X_2), mu(X_3), AntiPart  OffShell mu(V_1), Vertex V_0:A(X_1), AntiPart mu(X_4),  OffShell mu(V_0),",/ * * * NEG 1/2 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi gamma * * lor_0 s s gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * lor_2 p mu_spi_2_pv mu_spi_3_pu_star * * * NEG 2 p_lor_1 gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * lor_2 p mu_spi_4_pv mu_spi_5_pu_star + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 1/4 i ^ e_2 + / * * * i ^ e_2 ^ m_mu_2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 16 i ^ e_2 ^ m_mu_2 + ^ m_mu_2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
rho (X) AntiPart sigma (X) to mu eps (X) AntiPart mu eta (X)^(*),"Vertex V_0:A(X_2), AntiPart mu(X_4),  OffShell mu(V_0), Vertex V_1:A(X_1), mu(X_3), AntiPart  OffShell mu(V_1),",/ * * * 1/2 i ^ e_2 + + + + + + * * * p_lor_0 gamma_lor_spi gamma_lor_spi gamma * lor_0 s s_idx_0 * lor_1 p_idx_0 * * lor_2 p mu_spi_2_pv mu_spi_3_pu_star * * * NEG 2 p_lor_1 gamma_lor_spi_idx_0 * lor_1 p_idx_0 * * lor_2 p mu_spi_4_pv mu_spi_5_pu_star + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 2 i ^ e_2 + / * * * i ^ e_2 ^ m_mu_2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 2 i ^ e_2 ^ m_mu_2 + ^ m_mu_2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
tau (X) AntiPart mu (X) to t alpha (X) AntiPart t beta (X)^(*),"Vertex V_1:A(X_2), AntiPart t(X_4),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_3), AntiPart  OffShell t(V_0),",/ * * * 1/2 i ^ e_2 + + + + + + * p_lor_0 gamma * * * lor_0 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p t_spi_2_pu_star t_del_608_pv * * * NEG 2 p_lor_1 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p t_spi_3_pu_star t_del_613_pv + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 2 i ^ e_2 + / * * * i ^ e_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 2 i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
tau (X) AntiPart mu (X) to t alpha (X) AntiPart t beta (X)^(*),"Vertex V_0:A(X_2), t(X_3), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_4),  OffShell t(V_1),",/ * * * NEG 1/2 i ^ e_2 + + + + + + * p_lor_0 gamma * * * lor_0 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p t_spi_2_pu_star t_del_638_pv * * * NEG 2 p_lor_1 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * lor_2 p t_spi_3_pu_star t_del_641_pv + s * NEG 1/2 reg_prop,+ * * * * 2 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 1/4 i ^ e_2 + / * * * i ^ e_2 ^ 2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 16 i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
mu (X) AntiPart nu (X) to u alpha (X) AntiPart u beta (X)^(*),"Vertex V_1:A(X_2), AntiPart u(X_4),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_3), AntiPart  OffShell u(V_0),",/ * * * 2/9 i ^ e_2 + + + + + + * p lambda gamma * * * lambda s s gamma_lor_spi gamma_lor_spi b_spi_idx_0 * lor_0 p_idx_0 * * lor_1 p u_spi_2_pu_star u_b_spi_pv * * * NEG 2 p_lor_1 gamma_lor_spi b_spi_idx_0 * lor_0 p_idx_0 * * lor_1 p u_spi_3_pu_star u_b_spi_pv + s * NEG 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 32/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + s_s * 2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 2 i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop
