Interaction,Feynman Diagram,Amplitude,Squared Amplitude,domain
s alpha (X)^(*) AntiPart s beta (X) to mu gam (X) AntiPart mu del (X)^(*),"Vertex V_0:mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:s(X_1), AntiPart s(X_2),  OffShell A(V_1),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s s gamma_lor_spi s_star s mu_spi_1_pv mu_spi_0_pu_star + + mass_s_sq s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ m_mu_2 * * 8 ^ m_mu_2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ 2 s_s ^ + + ^ 2 s_s * 1/2 reg_prop NEG 2,qed
AntiPart d alpha (X) AntiPart a lambda (X) to AntiPart d eta (X)^(*) AntiPart b tau (X),"Vertex V_1:AntiPart d(X_3), G(X_4),  OffShell d(V_1), Vertex V_0:G(X_2), AntiPart d(X_1), AntiPart  OffShell d(V_0),",/ * * i ^ g_2 + + + + + + * * * * p_lor gamma_lor_spi alph_col T_2_col_idx_idx_6_idx_idx_3 T_2_col_idx_idx_3_idx_6_G_col_col * lor p_star_idx_6_col * * lor p_d_col_idx_idx_6 alph_col pv_d_col_idx_6_spi_pv_star * * * 1/2 p_lor gamma_lor_spi gamma * * * * lor_spi_spi gamma_lor_spi alph_col T_2_col_idx_idx_6_idx_idx_3 T_2_col_idx_idx_3_idx_6_G_col_col * lor p_star_idx_6_col * * lor p_d_col_idx_idx_6 alph_col pv_d_col_idx_6_spi_pv_star + s * 1/2 reg_prop,+ * * * * 4/9 ^ g_4 s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 8/9 i ^ g_2 + / * * * i ^ g_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ g_2 ^ 2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qcd
t eps (X)^(*) AntiPart t eta (X) to sigma (X) AntiPart lambda (X),"Vertex V_0:AntiPart t(X_2), A(X_3), AntiPart  OffShell t(V_0), Vertex V_1:t(X_1), A(X_4),  OffShell t(V_1),",/ * * i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * t_spi_0_pu t_spi_1_pv_star * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * t_spi_4_pu t_spi_5_pv_star + s * NEG 1/2 reg_prop,+ * * * ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 2 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
tt eps (X)^(*) AntiPart tt eta (X) to sigma (X) AntiPart lambda (X),"Vertex V_0:AntiPart tt(X_2), A(X_3), AntiPart  OffShell tt(V_0), Vertex V_1:tt(X_1), A(X_4),  OffShell tt(V_1),",/ * * * 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * tt s_pu tt s_pv_star * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * ^ lor_1 p * tt s_pu tt s_pv_star + s * NEG 1/2 reg_prop,+ * * * * 16/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * 32/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ m_tt_2 + * 16 s_s * 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
AntiPart tt del (X) nu (X) to AntiPart tt eps (X)^(*) AntiPart nu (X),"Vertex V_1:AntiPart tt(X_3), A(X_4),  OffShell tt(V_1), Vertex V_0:A(X_2), AntiPart tt(X_1), AntiPart  OffShell tt(V_0),",/ * * * 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv * * * * 1/2 p_lor_2 gamma_lor_spi gamma_lor_spi gamma * lor_2 s s_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt s_pv_star tt s_pv + s * 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ m_tt_2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
t eps (X)^(*) AntiPart s gam (X) to t del (X) AntiPart s eps (X)^(*),"Vertex V_1:AntiPart s(X_2), AntiPart s(X_4),  OffShell A(V_1), Vertex V_0:t(X_1), t(X_3),  OffShell A(V_0),",+ * * * NEG 1/6 i ^ e_2 gamma / * * * * * lor_0 s b_spi gamma_lor_spi s_star s t_spi_1_pu t_spi_2_pu_star + + mass_t_sq NEG s * 1/2 reg_prop,* * * 1/36 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
tt gam (X)^(*) AntiPart tt del (X) to t eps (X) AntiPart t eta (X)^(*),"Vertex V_0:t(X_3), AntiPart t(X_4),  OffShell A(V_0), Vertex V_1:tt(X_1), AntiPart tt(X_2),  OffShell A(V_1),",+ * * * * 1/3 i ^ e_2 gamma_lor_spi_del gamma / * * * * lor_0 s s t_spi_2_pu_star t_del_258_pv tt s_pu tt s_pv_star + + mass_tt_sq s * 1/2 reg_prop,* * * 1/9 ^ e_4 + + + + * * 16 ^ 2 ^ m_tt_2 * * 8 ^ 2 s_s * * 8 s_s s_s * * 8 s_s s_s * * 8 ^ m_tt_2 s_s ^ + + ^ m_tt_2 s_s * 1/2 reg_prop NEG 2,qed
b alpha (X)^(*) AntiPart mu (X) to b eta (X) AntiPart nu (X),"Vertex V_0:A(X_2), b(X_3), AntiPart  OffShell b(V_0), Vertex V_1:b(X_1), A(X_4),  OffShell b(V_1),",/ * * * 1/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_0_pu_star b_del_2035_pu * * NEG 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * lor_1 p_idx_0 * * ^ lor_0 p * b_spi_3_pu_star b_del_2037_pu + s * NEG 1/2 reg_prop,+ * * * * 2/81 ^ e_4 s_s s_s ^ + s_s * NEG 1/2 reg_prop NEG 2 / * * * NEG 4/81 i ^ e_2 + / * * * i ^ e_2 ^ 2 + ^ 2 * NEG 1/2 s_s + s_s * NEG 1/2 reg_prop / * * * * NEG 1/16 i ^ e_2 ^ 2 + * 16 s_s * NEG 8 s_s + s_s * NEG 1/2 reg_prop + s_s * NEG 1/2 reg_prop,qed
s alpha (X)^(*) c beta (X)^(*) to s gam (X) c del (X),"Vertex V_1:c(X_2), c(X_4),  OffShell A(V_1), Vertex V_0:s(X_1), s(X_3),  OffShell A(V_0),",+ * * * * 1/9 i ^ e_2 gamma_lor_spi gamma / * * * * lor_0 s_del_2275 c_del_2275_pu c_spi_0_pu_star s s_star + + mass_s_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
AntiPart e eps (X) u eta (X)^(*) to AntiPart e alpha (X)^(*) u beta (X),"Vertex V_1:u(X_2), u(X_4),  OffShell A(V_1), Vertex V_0:AntiPart e(X_1), AntiPart e(X_3),  OffShell A(V_0),",+ * * * 1/3 i ^ e_2 gamma / * * * * * lor_0 s b_spi gamma_lor_spi e_spi_1_pv_star e_spi_2_pv u_b_spi_pu u_spi_0_pu_star + + mass_e_sq NEG s * 1/2 reg_prop,* * * 1/9 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
tt alpha (X)^(*) AntiPart rho (X) to tt beta (X) AntiPart sigma (X),"Vertex V_0:tt(X_3), A(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:tt(X_1), A(X_2),  OffShell tt(V_1),",/ * * * NEG 4/9 i ^ e_2 + + + + + + * * p_lor_0 gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4001_pu tt s_pu_star * * 1/2 p_lor_2 gamma * * * lor_2 s s gamma_lor_spi gamma_lor_spi_del_idx_0 * ^ lor_0 p * idx_0 * * lor_1 p tt_del_4003_pu tt s_pu_star + s * 1/2 reg_prop,+ * * * * 32/81 ^ e_4 s_s s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 64/81 i ^ e_2 + / * * * i ^ e_2 ^ m_tt_2 + ^ m_tt_2 * NEG 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 1/2 i ^ e_2 ^ m_tt_2 + s_s * NEG 2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qed
d sigma (X) AntiPart e lambda (X) to u eps (X) AntiPart u eta (X)^(*),"Vertex V_1:u(X_3), AntiPart u(X_4),  OffShell G(V_1), Vertex V_0:G(X_1), G(X_2),  OffShell G(V_0),",/ * * NEG 1/2 g + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + + * * * * * * i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_idx_1 T_2_col_idx_0_idx_idx_3_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_idx_1 T_2_col_idx_0_idx_idx_3_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * NEG i g p_lor gamma_lor_spi_col T_2_col_idx_0_idx_idx_3 T_2_col_idx_idx_3_idx_1_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * NEG i g p_lor gamma_lor_spi_col T_2_col_idx_0_idx_idx_3 T_2_col_idx_idx_3_idx_1_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * * NEG 2 i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_idx_1 T_2_col_idx_0_idx_idx_3_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * * NEG 2 i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_idx_1 T_2_co_col_idx_0_idx_idx_3_idx_idx_6 co_col co_col * lor p_idx_6 co_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * * 2 i g p_lor gamma_lor_spi de_co_col T_2_co_col_idx_0_idx_idx_3 T_2_co_col_idx_idx_3_idx_1_idx_idx_6 co_col co_col * lor p_idx_6 co_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1 de_co_col_pv * * * * * * * 2 i g p_lor gamma_lor_spi de_co_col T_2_co_col_idx_0_idx_idx_3 T_2_col_idx_idx_3_idx_1_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1 de_co_col_pv * * * NEG 2 i g p * * * * * lor gamma_lor_spi_col T_2_col_idx_idx_3_idx_1 T_2_col_idx_0_idx_idx_3_idx_idx_6 co_col_col_lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * 2 i g p * * * * * lor gamma_lor_spi_col T_2_col_idx_0_idx_idx_3 T_2_col_idx_idx_3_idx_1_idx_idx_6 co_col_col_lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_idx_1 T_2_col_idx_0_idx_idx_3_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * NEG i g p_lor gamma_lor_spi_col T_2_col_idx_0_idx_idx_3 T_2_col_idx_idx_3_idx_1_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * i g p_lor gamma_lor_spi_col T_2_col_idx_idx_3_idx_1 T_2_col_idx_0_idx_idx_3_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv * * * * * * NEG i g p_lor gamma_lor_spi_col T_2_col_idx_0_idx_idx_3 T_2_col_idx_idx_3_idx_1_idx_idx_6 co_col_col * lor p_idx_6_col * * lor_pu_col_idx_0_spi_pu_star u_col_idx_1_del_col_pv + s * 1/2 reg_prop,+ + + + + * * * NEG 1/6 ^ g_4 + * ^ 2 + ^ 2 * 1/2 s_s * s_s + ^ 2 * 1/2 s_s ^ + s_s * 1/2 reg_prop NEG 2 / * * * NEG 1/12 i ^ g_2 + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * * NEG 2 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 2 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop / * * * NEG 1/16 i ^ g_2 + + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * * NEG 8/3 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 8/3 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * 1/6 i ^ g_2 + + * s_s * * NEG 1/64 s_s + * 128 ^ 2 * 64 s_s * * NEG 1/64 s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop / * * * 1/96 i ^ g_2 + + + + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * i ^ g_2 ^ 2 + s_s NEG s_s + s_s * 1/2 reg_prop / * * * 1/64 i ^ g_2 + * s_s + * 128 ^ 2 * 64 s_s * s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * NEG i ^ g_2 + + * ^ 2 + s_s NEG s_s * * 1/32 s_s + * 128 ^ 2 * 64 s_s * * 1/32 s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * * 1/32 i ^ g_2 + * ^ 2 + * 128 ^ 2 * 64 s_s * s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * * 16 i ^ g_2 + * ^ 2 + ^ 2 * 1/2 s_s * s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop / * * * 1/3 i ^ g_2 + + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * NEG i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * NEG i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * NEG 2 i ^ g_2 + + * s_s * ^ NEG + ^ 2 * 1/2 s_s * NEG s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop / * * * 17/48 i ^ g_2 + + + + + / * * * i ^ g_2 s_s + s_s * 1/2 reg_prop / * * * * NEG 16/17 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * * NEG 16/17 i ^ g_2 s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop / * * * 1/17 i ^ g_2 + + * s_s * * NEG 1/64 s_s + * 128 ^ 2 * 64 s_s * * NEG 1/64 s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * * NEG 8/17 i ^ g_2 + + * s_s * * NEG 1/128 ^ 2 + * 128 ^ 2 * 64 s_s * * NEG 1/128 s_s + * 128 ^ 2 * 64 s_s + s_s * 1/2 reg_prop / * * * NEG 32/17 i ^ g_2 + + * s_s * ^ NEG + ^ 2 * 1/2 s_s * NEG s_s + ^ 2 * 1/2 s_s + s_s * 1/2 reg_prop + s_s * 1/2 reg_prop,qcd
AntiPart d eps (X) AntiPart c eps (X) to AntiPart d eta (X)^(*) AntiPart c alpha (X)^(*),"Vertex V_1:AntiPart c(X_2), AntiPart c(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),",+ * * * 1/9 i ^ e_2 gamma / * * * * * lor_0 s_del_3450 gamma_lor_spi c_spi_0_pv_star c_del_3450_pv d_spi_1_pv_star d_spi_2_pv + + mass_d_sq NEG s * 1/2 reg_prop,* * * 1/81 ^ e_4 + + + + * * 16 ^ 2 ^ 2 * * NEG 8 ^ 2 s_s * * 8 s_s s_s * * NEG 8 ^ 2 s_s * * 8 s_s s_s ^ + + ^ 2 NEG s_s * 1/2 reg_prop NEG 2,qed
